Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
Global Developing Markets,IDN,Indonesia,(Paid UA) CPP,1.000,good,All genres,
Global Developing Markets,IDN,Indonesia,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,IDN,Indonesia,Revenue Potential,0.006,,All genres,
Global Developing Markets,VNM,Vietnam,(Paid UA) CPP,1.000,good,All genres,
Global Developing Markets,VNM,Vietnam,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,VNM,Vietnam,Revenue Potential,0.002,,All genres,
Global Developing Markets,PHL,Philippines,(Paid UA) CPP,1.000,good,All genres,
Global Developing Markets,PHL,Philippines,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,PHL,Philippines,Revenue Potential,0.003,,All genres,
Global Developing Markets,IND,India,(Paid UA) CPP,1.000,good,All genres,YES
Global Developing Markets,IND,India,(Paid UA) D7 ARPPU,1.000,bad,All genres,YES
Global Developing Markets,IND,India,Revenue Potential,0.003,,All genres,YES
Global Developing Markets,MYS,Malaysia,(Paid UA) CPP,1.000,good,All genres,YES
Global Developing Markets,MYS,Malaysia,(Paid UA) D7 ARPPU,2.000,bad,All genres,YES
Global Developing Markets,MYS,Malaysia,Revenue Potential,0.003,,All genres,YES
Global Developing Markets,ZAF,South Africa,(Paid UA) CPP,2.000,good,All genres,YES
Global Developing Markets,ZAF,South Africa,(Paid UA) D7 ARPPU,3.000,medium,All genres,YES
Global Developing Markets,ZAF,South Africa,Revenue Potential,0.001,,All genres,YES
Global Developing Markets,KAZ,Kazakhstan,(Paid UA) CPP,2.000,good,All genres,
Global Developing Markets,KAZ,Kazakhstan,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,KAZ,Kazakhstan,Revenue Potential,0.000,,All genres,
Global Developing Markets,EGY,Egypt,(Paid UA) CPP,5.000,bad,All genres,
Global Developing Markets,EGY,Egypt,(Paid UA) D7 ARPPU,1.000,bad,All genres,
Global Developing Markets,EGY,Egypt,Revenue Potential,0.000,,All genres,
Global Developing Markets,IRQ,Iraq,(Paid UA) CPP,5.000,bad,All genres,
Global Developing Markets,IRQ,Iraq,(Paid UA) D7 ARPPU,2.000,bad,All genres,
Global Developing Markets,IRQ,Iraq,Revenue Potential,0.000,,All genres,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) CPP,2.000,good,All genres,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) D7 ARPPU,2.000,bad,All genres,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,Revenue Potential,0.009,,All genres,
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,MEX,Mexico,Revenue Potential,0.005,,All genres,
LATAM Spanish Speaking,CHL,Chile,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,CHL,Chile,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,CHL,Chile,Revenue Potential,0.002,,All genres,
LATAM Spanish Speaking,COL,Colombia,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,COL,Colombia,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,COL,Colombia,Revenue Potential,0.001,,All genres,
LATAM Spanish Speaking,ARG,Argentina,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,ARG,Argentina,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,ARG,Argentina,Revenue Potential,0.001,,All genres,
LATAM Spanish Speaking,PER,Peru,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,PER,Peru,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,PER,Peru,Revenue Potential,0.001,,All genres,
LATAM Spanish Speaking,PRI,Puerto Rico,(Paid UA) CPP,4.000,bad,All genres,
LATAM Spanish Speaking,PRI,Puerto Rico,(Paid UA) D7 ARPPU,3.000,medium,All genres,
LATAM Spanish Speaking,PRI,Puerto Rico,Revenue Potential,0.000,,All genres,
LATAM Spanish Speaking,CRI,Costa Rica,(Paid UA) CPP,1.000,good,All genres,
LATAM Spanish Speaking,CRI,Costa Rica,(Paid UA) D7 ARPPU,1.000,bad,All genres,
LATAM Spanish Speaking,CRI,Costa Rica,Revenue Potential,0.000,,All genres,
US and English Language,All countries,US and English Language,(Paid UA) CPP,3.000,medium,Match,
US and English Language,All countries,US and English Language,(Paid UA) D7 ARPPU,3.000,medium,Match,
US and English Language,All countries,US and English Language,Revenue Potential,0.676,,Match,
US and English Language,USA,U.S.,(Paid UA) CPP,2.000,good,Match,YES
US and English Language,USA,U.S.,(Paid UA) D7 ARPPU,2.000,bad,Match,YES
US and English Language,USA,U.S.,Revenue Potential,0.569,,Match,YES
US and English Language,GBR,U.K.,(Paid UA) CPP,1.000,good,Match,YES
US and English Language,GBR,U.K.,(Paid UA) D7 ARPPU,2.000,bad,Match,YES
US and English Language,GBR,U.K.,Revenue Potential,0.059,,Match,YES
US and English Language,CAN,Canada,(Paid UA) CPP,3.000,medium,Match,
US and English Language,CAN,Canada,(Paid UA) D7 ARPPU,2.000,bad,Match,
