Tier,Market,Market full name,Revenue,UA Spend,ARPPU,Genre
Europe & Middle East (Group 2),UKR,乌克兰,0.004,0.004,16.25,角色扮演类
Europe & Middle East (Group 2),ROU,罗马尼亚,0.001,0.001,18.86,角色扮演类
Europe & Middle East (Group 2),CZE,捷克,0.001,0.002,19.97,角色扮演类
Europe & Middle East (Group 2),GRC,希腊,0.001,0.001,25.25,角色扮演类
Europe & Middle East (Group 2),PRT,葡萄牙,0.001,0.002,24.48,角色扮演类
Europe & Middle East (Group 2),HUN,匈牙利,0.001,0.001,19.36,角色扮演类
Europe & Middle East (Group 2),FIN,芬兰,0.001,0.003,29.71,角色扮演类
Europe & Middle East (Group 2),BGR,保加利亚,0.001,0.001,22.66,角色扮演类
Europe & Middle East (Group 2),SVK,斯洛伐克,0.000,0.000,22.69,角色扮演类
Europe & Middle East (Group 2),HRV,克罗地亚,0.000,0.001,25.94,角色扮演类
Europe & Middle East (Group 2),BLR,白俄罗斯,0.000,0.001,11.12,角色扮演类
Europe & Middle East (Group 2),LTU,立陶宛,0.000,0.001,21.29,角色扮演类
Europe & Middle East (Group 1),DEU,德国,0.030,0.037,29.54,角色扮演类
Europe & Middle East (Group 1),FRA,法国,0.026,0.030,28.34,角色扮演类
Europe & Middle East (Group 1),ITA,意大利,0.006,0.009,24.09,角色扮演类
Europe & Middle East (Group 1),ESP,西班牙,0.005,0.006,22.46,角色扮演类
Europe & Middle East (Group 1),NLD,荷兰,0.005,0.005,31.76,角色扮演类
Europe & Middle East (Group 1),CHE,瑞士,0.004,0.003,48.99,角色扮演类
Europe & Middle East (Group 1),AUT,奥地利,0.003,0.004,34.57,角色扮演类
Europe & Middle East (Group 1),BEL,比利时,0.003,0.004,31.35,角色扮演类
Europe & Middle East (Group 1),SWE,瑞典,0.002,0.003,25.95,角色扮演类
Europe & Middle East (Group 1),ISR,以色列,0.001,0.001,41.10,角色扮演类
Europe & Middle East (Group 1),NOR,挪威,0.002,0.002,35.00,角色扮演类
Europe & Middle East (Group 1),ARE,阿联酋,0.002,0.002,50.21,角色扮演类
Europe & Middle East (Group 1),DNK,丹麦,0.002,0.002,26.90,角色扮演类
Europe & Middle East (Group 1),KWT,科威特,0.001,0.000,63.83,角色扮演类
Europe & Middle East (Group 1),QAT,卡塔尔,0.000,0.000,65.68,角色扮演类
East Asia Pacific,KOR,韩国,0.223,0.250,40.23,角色扮演类
East Asia Pacific,JPN,日本,0.150,0.098,40.39,角色扮演类
